atom_1,atom_2,pair,count,r2_avg,r2,min_distance,max_distance,r2_avg_ratio,r2_ratio
C1',C8,A-G,94,0.174,0.163,9.365,12.42,0.14,0.155
C4',O2,A-C,47,0.353,0.163,9.493333333333334,11.11,0.174,0.015
N6,C3',A-C,47,0.134,0.162,5.233333333333333,11.81,0.157,0.021
C6,O2P,A-G,94,0.253,0.162,9.99,12.753333333333332,0.27,0.197
N1,C4',C-A,47,0.137,0.162,9.9,12.53,0.003,0.007
O3',P,A-A,114,0.225,0.162,14.517499999999998,19.05,0.197,0.317
C6,N1,C-A,47,0.149,0.162,5.4,7.913333333333334,0.021,0.009
N1,O4',C-A,47,0.116,0.161,9.55,11.68,0.0,0.006
C3',C5,A-A,114,0.204,0.161,8.17,12.2,0.173,0.326
C1',O1P,C-C,48,0.626,0.161,14.61,16.36,0.078,0.074
N7,C5',A-A,114,0.171,0.161,8.805,14.754999999999999,0.215,0.084
C5',C3',A-A,114,0.192,0.161,12.89,18.15,0.117,0.078
C3',P,C-A,47,0.013,0.16,12.773333333333333,18.02,0.082,0.007
N3,O2',A-C,47,0.116,0.16,6.359999999999999,10.23,0.318,0.068
C6,N7,A-A,114,0.06,0.16,6.380000000000001,8.094999999999999,0.104,0.253
C2',O4',A-C,47,0.252,0.16,9.87,12.66,0.001,0.002
C3',O2P,A-A,114,0.231,0.16,12.9475,17.895,0.249,0.321
N3,P,C-A,47,0.04,0.159,9.450000000000001,12.79,0.039,0.0
C4',C3',C-A,47,0.077,0.159,12.54,15.05,0.024,0.003
O2',O2P,C-C,48,0.609,0.159,13.985,15.92,0.163,0.094
C6,O2P,C-A,47,0.067,0.158,10.543333333333335,14.87,0.027,0.0
P,C4',C-A,47,0.15,0.158,12.72,17.92,0.01,0.01
C1',C8,A-A,114,0.149,0.158,7.747499999999999,12.79,0.151,0.301
O4',C3',C-A,47,0.109,0.158,11.28,13.95,0.004,0.0
N1,O4',A-A,114,0.24,0.157,7.1850000000000005,9.89,0.168,0.077
C1',C4',C-A,47,0.059,0.157,11.36,13.61,0.031,0.002
C1',P,A-A,114,0.224,0.157,12.115,16.528333333333336,0.248,0.317
C2',O5',C-A,47,0.005,0.157,10.89,15.75,0.108,0.01
O4',O2P,C-A,47,0.022,0.156,11.17,17.16,0.059,0.003
O2',C1',A-A,114,0.131,0.156,9.715,14.68,0.029,0.29
O3',C5',C-C,48,0.667,0.156,14.65,16.465,0.252,0.023
C2,P,C-A,47,0.012,0.156,9.473333333333334,13.97,0.074,0.004
C6,C8,C-A,47,0.084,0.156,8.9,10.73,0.018,0.001
O4',N1,A-G,94,0.105,0.155,6.29,10.138571428571428,0.081,0.143
C2,O2P,A-G,94,0.051,0.155,10.305,13.22,0.056,0.144
N3,N2,A-G,94,0.311,0.155,3.855,6.781428571428571,0.31,0.162
C6,C5,A-C,47,0.13,0.154,5.43,7.983333333333333,0.003,0.001
N1,C6,A-C,47,0.143,0.154,5.4,7.913333333333334,0.02,0.009
C3',C4',C-A,47,0.038,0.153,12.84,15.4,0.061,0.005
N9,O2P,A-A,114,0.203,0.153,10.4425,15.445,0.287,0.31
O5',O5',C-A,47,0.033,0.153,14.453333333333333,18.35,0.046,0.003
C4',P,C-C,48,0.538,0.153,15.68,17.05,0.072,0.072
N3,O2,A-C,47,0.184,0.153,4.72,7.46,0.184,0.062
O4',N9,C-A,47,0.027,0.152,9.63,12.1,0.079,0.006
C2,C5,A-C,47,0.097,0.152,4.01,10.133333333333333,0.076,0.009
O3',O1P,C-A,47,0.008,0.152,14.856666666666667,20.34,0.093,0.009
O2P,C5',C-A,47,0.2,0.152,13.08,17.951,0.015,0.003
O2P,O2P,C-A,47,0.17,0.152,14.44,18.1025,0.002,0.0
C2',O1P,C-A,47,0.006,0.152,12.616666666666667,18.24,0.093,0.009
N1,C2,A-C,47,0.138,0.151,3.255,7.75,0.175,0.074
P,O4',C-A,47,0.144,0.151,11.93,16.96,0.01,0.011
C2',C5',C-C,48,0.671,0.15,12.5975,14.435,0.166,0.024
N1,P,C-C,48,0.542,0.15,12.445,13.805,0.019,0.085
C4',O2P,C-A,47,0.017,0.149,12.200000000000001,18.27,0.067,0.005
C4',C2',C-A,47,0.097,0.149,11.1,13.62,0.007,0.0
O2',C3',C-C,48,0.666,0.149,10.7,13.675,0.19,0.019
C8,N6,A-A,114,0.137,0.148,6.1425,8.95,0.24,0.271
C5,O2P,C-A,47,0.129,0.148,10.486666666666666,13.745000000000001,0.004,0.001
N6,C2',A-C,47,0.101,0.147,3.763333333333333,11.97,0.169,0.027
O2',P,A-G,94,0.11,0.147,13.215,18.4,0.098,0.156
O2',O2,C-C,48,0.632,0.147,6.76,9.24,0.042,0.05
C1',O4',C-A,47,0.028,0.146,10.583333333333334,12.83,0.062,0.003
C1',C5',C-A,47,0.028,0.145,11.873333333333335,14.98,0.068,0.006
C4',N9,C-A,47,0.015,0.145,10.186666666666666,13.19,0.103,0.009
N9,P,A-C,47,0.213,0.145,10.13,14.64,0.004,0.006
C4',C2',A-A,114,0.176,0.145,11.2,16.255000000000003,0.07,0.07
C4,N2,A-G,94,0.151,0.145,4.775,7.34857142857143,0.127,0.142
O4',P,C-C,48,0.6,0.145,14.7,16.075,0.051,0.07
C4',O3',C-A,47,0.111,0.144,12.55,15.72,0.003,0.0
N9,N1,A-C,47,0.353,0.144,8.48,9.85,0.131,0.009
O3',O4',C-C,48,0.761,0.144,12.4125,14.620000000000001,0.191,0.012
O1P,N6,C-A,47,0.092,0.144,9.15,12.8,0.021,0.0
O1P,C6,C-A,47,0.113,0.144,8.78,12.96,0.002,0.0
O5',O1P,C-A,47,0.024,0.144,15.866666666666665,20.77,0.055,0.005
P,C5,C-A,47,0.106,0.143,9.3,12.98,0.002,0.0
C6,N2,A-G,94,0.076,0.142,4.066666666666666,6.595000000000001,0.089,0.155
C4',O1P,C-C,48,0.556,0.142,16.794999999999998,18.34,0.082,0.063
N1,O2',A-C,47,0.086,0.142,4.046666666666667,10.98,0.223,0.046
C4',P,A-C,47,0.199,0.142,12.72,17.92,0.01,0.01
C3',C5',C-A,47,0.019,0.142,13.373333333333335,16.72,0.095,0.01
O4',C6,A-A,114,0.219,0.142,7.380000000000001,10.555,0.235,0.304
C6,C2',A-C,47,0.096,0.142,4.8500000000000005,10.92,0.213,0.039
N6,O5',A-C,47,0.183,0.142,7.5566666666666675,11.95,0.262,0.039
O1P,N9,C-A,47,0.128,0.142,10.89,15.9,0.003,0.007
N6,C1',A-C,47,0.103,0.142,3.8799999999999994,10.93,0.193,0.033
C2',O4',C-C,48,0.786,0.141,10.3375,12.605,0.106,0.014
C5',N7,C-A,47,0.018,0.14,10.003333333333334,13.97,0.08,0.005
P,N9,C-A,47,0.131,0.14,10.13,14.64,0.004,0.006
O3',C2,C-C,48,0.639,0.14,9.6625,11.155000000000001,0.11,0.042
C3',C5,A-G,94,0.111,0.14,9.02,11.94,0.101,0.139
O1P,O4',C-A,47,0.131,0.14,12.82,18.21,0.006,0.011
C4,P,A-A,114,0.236,0.14,10.0625,14.48166666666667,0.282,0.299
C2',N1,C-C,48,0.788,0.14,8.6875,10.46,0.049,0.033
O1P,C4',C-A,47,0.136,0.14,13.7,19.22,0.006,0.011
C3',O4',C-A,47,0.015,0.14,11.773333333333333,14.48,0.098,0.008
O3',O1P,A-A,114,0.212,0.139,14.925,20.395,0.168,0.286
N9,O5',A-C,47,0.219,0.139,11.27,14.38,0.07,0.013
O2',O2',A-C,47,0.356,0.138,10.19,12.47,0.14,0.007
C4,C8,A-A,114,0.157,0.138,6.8950000000000005,10.325,0.165,0.271
O2,O1P,C-A,47,0.002,0.138,9.803333333333333,15.17,0.097,0.008
N3,C2',A-A,114,0.142,0.138,7.6899999999999995,11.125,0.015,0.073
C5',C5,C-A,47,0.018,0.138,9.493333333333334,12.62,0.096,0.008
N9,O1P,A-C,47,0.227,0.138,10.89,15.9,0.003,0.007
N3,O3',A-A,114,0.176,0.138,8.7075,13.09,0.044,0.065
O3',N1,C-C,48,0.787,0.138,10.8925,12.515,0.158,0.027
C2',O5',A-A,114,0.224,0.137,11.94,16.53,0.169,0.288
O3',P,C-A,47,0.003,0.137,13.47,19.15,0.103,0.011
O4',C2,A-A,114,0.198,0.137,7.5625,10.77,0.083,0.067
O2',C6,C-C,48,0.862,0.137,10.0575,11.805,0.13,0.059
O2P,C8,C-A,47,0.191,0.137,10.15,14.02,0.009,0.002
N1,O4',A-C,47,0.156,0.136,6.596666666666667,8.87,0.372,0.074
C6,O2P,A-A,114,0.191,0.136,7.845,12.675,0.314,0.286
C6,O5',A-C,47,0.212,0.135,8.766666666666667,11.87,0.292,0.05
C2,P,C-C,48,0.507,0.135,11.165,12.7025,0.018,0.071
N1,O1P,C-C,48,0.536,0.135,13.645,15.08,0.03,0.075
O4',O1P,C-C,48,0.604,0.134,15.805,17.325000000000003,0.058,0.063
C5,C5',C-A,47,0.205,0.134,9.76,13.8,0.049,0.034
C4',O5',A-C,47,0.202,0.134,13.61,17.28,0.016,0.002
O4',N7,A-G,94,0.199,0.133,9.93,12.723333333333334,0.177,0.129
N6,O5',A-A,114,0.225,0.133,7.495,12.477500000000001,0.348,0.05
N9,C5,A-A,114,0.171,0.133,6.9125000000000005,9.54,0.175,0.284
N9,N3,A-C,47,0.096,0.133,6.68,8.523333333333332,0.0,0.0
C2,C6,A-C,47,0.084,0.133,5.23,9.22,0.025,0.001
N1,C3',A-C,47,0.114,0.133,6.44,9.56,0.284,0.057
O4',P,A-C,47,0.19,0.133,11.93,16.96,0.01,0.011
C2',N9,A-A,114,0.173,0.133,8.870000000000001,13.035,0.09,0.277
C6,C5',A-A,114,0.229,0.133,8.14,12.485000000000001,0.243,0.047
C2,P,A-G,94,0.252,0.133,11.035,13.25,0.256,0.155
C2',P,C-A,47,0.001,0.132,11.270000000000001,17.12,0.107,0.012
C6,C4',C-A,47,0.186,0.132,9.53,13.34,0.044,0.035
C4,C5,C-A,47,0.088,0.132,5.4399999999999995,8.08,0.0,0.0
C1',C2',A-A,114,0.158,0.132,9.6075,14.065000000000001,0.054,0.063
N4,N1,C-A,47,0.029,0.132,2.89,9.770000000000001,0.049,0.004
C2,C5',C-A,47,0.046,0.132,10.54,12.56,0.044,0.002
N1,O2P,C-A,47,0.011,0.131,9.51,14.97,0.073,0.004
C6,C1',A-C,47,0.096,0.131,5.146666666666667,9.9,0.247,0.048
C6,O4',C-A,47,0.177,0.13,9.02,12.48,0.043,0.039
O2',O3',A-C,47,0.313,0.13,11.25,14.3,0.019,0.0
O2',N3,C-C,48,0.649,0.13,7.8925,9.120000000000001,0.039,0.097
O4',N7,A-A,114,0.157,0.13,7.5525,12.815000000000001,0.2,0.267
C2,O5',C-C,48,0.593,0.13,10.059999999999999,11.78,0.01,0.045
O4',O2P,A-A,114,0.208,0.13,12.299999999999999,17.59,0.277,0.28
O4',O3',C-A,47,0.135,0.13,11.27,14.74,0.001,0.0
N6,C4,A-C,47,0.121,0.129,3.215,7.76,0.128,0.042
O3',O2',A-A,114,0.116,0.129,10.635,17.015,0.008,0.076
C1',O1P,A-A,114,0.22,0.129,13.215,17.845,0.224,0.278
O2',C2',C-C,48,0.669,0.129,9.215,12.395,0.146,0.012
N1,O1P,A-A,114,0.269,0.129,8.92,13.596666666666666,0.286,0.291
C4',C6,A-A,114,0.23,0.129,7.735,11.467500000000001,0.233,0.29
C2',C5,A-G,94,0.087,0.128,7.535,11.46,0.106,0.142
O4',C8,C-A,47,0.007,0.128,9.13,13.0,0.102,0.008
C4,O2P,A-G,94,0.224,0.128,12.120000000000001,14.743333333333334,0.21,0.149
O2,P,C-C,48,0.564,0.128,11.07,12.8075,0.054,0.054
O4',C2',C-A,47,0.127,0.128,9.87,12.66,0.001,0.002
C2',O2P,C-C,48,0.456,0.127,13.620000000000001,15.1125,0.076,0.089
O2',O5',C-A,47,0.0,0.127,10.486666666666666,16.55,0.125,0.013
C4',O3',A-A,114,0.155,0.127,12.64,18.285,0.062,0.061
C8,O2,A-C,47,0.076,0.127,5.766666666666667,10.39,0.244,0.045
P,C3',C-A,47,0.145,0.127,12.02,17.16,0.011,0.008
O3',C4',C-C,48,0.701,0.126,13.4075,15.754999999999999,0.231,0.006
N3,N3,C-A,47,0.035,0.126,4.73,9.053333333333335,0.023,0.001
C1',C2,C-A,47,0.505,0.126,6.075,7.75,0.485,0.121
O2,O5',C-C,48,0.605,0.126,9.76,11.805,0.031,0.039
O2',O1P,C-A,47,0.0,0.126,12.396666666666667,19.04,0.111,0.011
C1',O2P,C-A,47,0.004,0.126,9.916666666666666,16.31,0.087,0.007
C5,N3,A-C,47,0.121,0.126,4.655,7.6,0.156,0.045
O5',C4,A-C,47,0.223,0.126,9.18,12.465,0.044,0.024
O2,O5',C-A,47,0.0,0.125,8.433333333333334,12.7,0.128,0.012
C3',C5',C-C,48,0.623,0.124,13.985,15.43,0.184,0.013
C4',C8,C-A,47,0.005,0.124,9.816666666666668,14.06,0.108,0.009
C4',O2P,A-A,114,0.219,0.124,13.285,18.59,0.268,0.273
C3',P,A-A,114,0.239,0.124,13.5125,18.008333333333333,0.232,0.273
C5',O2',C-A,47,0.191,0.123,11.13,15.02,0.045,0.029
O2P,N7,C-A,47,0.168,0.123,9.86,13.038,0.0,0.0
O4',O2,A-C,47,0.193,0.123,8.543333333333333,10.34,0.276,0.021
N4,P,C-A,47,0.242,0.123,9.39,12.765,0.04,0.015
C2',C2,C-C,48,0.621,0.123,7.430000000000001,9.094999999999999,0.012,0.042
C8,C2,A-C,47,0.118,0.123,6.953333333333333,9.62,0.267,0.034
C4',N7,A-A,114,0.166,0.122,8.370000000000001,13.739999999999998,0.199,0.26
C2,O2',A-C,47,0.071,0.122,5.293333333333333,9.95,0.303,0.076
O2',C4',A-A,114,0.146,0.122,11.219999999999999,16.885,0.037,0.249
O2P,C4',C-A,47,0.196,0.122,11.66,17.195,0.035,0.012
C4',O1P,A-C,47,0.204,0.121,13.7,19.22,0.006,0.011
O5',P,C-A,47,0.013,0.121,14.62,19.58,0.07,0.007
C2',C4',C-C,48,0.718,0.121,11.287500000000001,13.66,0.146,0.006
O3',C4',C-A,47,0.008,0.121,13.226666666666667,16.51,0.119,0.012
O4',O5',A-C,47,0.184,0.121,12.94,16.37,0.024,0.003
C3',O2P,C-A,47,0.004,0.121,11.719999999999999,17.84,0.093,0.009
C1',O3',A-A,114,0.152,0.12,10.845,16.045,0.056,0.056
O2',O3',C-C,48,0.653,0.12,11.325,14.635,0.23,0.006
C2',C1',A-C,47,0.263,0.12,9.22,11.39,0.013,0.001
O4',O1P,A-C,47,0.198,0.12,12.82,18.21,0.006,0.011
N6,O2P,A-C,47,0.376,0.12,8.245,10.25,0.027,0.008
N7,C8,A-A,114,0.131,0.119,5.6875,11.2525,0.207,0.059
O3',C1',C-C,48,0.741,0.119,11.22,13.515,0.186,0.005
O1P,N4,A-C,47,0.231,0.119,10.35,14.085,0.052,0.022
C5,C6,C-A,47,0.081,0.118,5.43,7.983333333333333,0.003,0.001
C2,O1P,C-C,48,0.488,0.118,12.36,13.955,0.028,0.061
P,O5',A-A,114,0.232,0.118,13.83,20.031666666666666,0.368,0.041
C1',C5',C-C,48,0.745,0.117,12.434999999999999,13.975,0.133,0.01
O2,O1P,C-C,48,0.539,0.117,12.105,14.015,0.067,0.049
N9,N4,A-C,47,0.036,0.117,4.56,10.623333333333333,0.116,0.031
P,N7,A-A,114,0.194,0.117,9.4375,15.5975,0.309,0.046
C3',P,A-C,47,0.184,0.117,12.02,17.16,0.011,0.008
O3',O2P,C-C,48,0.408,0.117,15.7,17.0225,0.103,0.083
N3,C8,A-G,94,0.085,0.117,7.275,10.09,0.097,0.124
C5,N1,C-A,47,0.024,0.116,4.96,8.86,0.019,0.001
N7,O2,A-C,47,0.061,0.116,4.503333333333334,10.86,0.226,0.046
O3',C6,A-G,94,0.081,0.115,8.87,12.215,0.082,0.121
C2',C1',C-C,48,0.758,0.115,9.0725,11.42,0.086,0.006
O3',C5',C-A,47,0.003,0.114,13.850000000000001,17.84,0.138,0.015
O2',P,C-A,47,0.0,0.114,11.049999999999999,17.97,0.121,0.014
O1P,C3',C-A,47,0.133,0.114,13.04,18.5,0.007,0.008
O1P,O5',A-A,114,0.238,0.114,15.0175,21.235,0.344,0.037
C2',C6,C-C,48,0.909,0.113,9.7025,11.015,0.054,0.043
C5',C4',A-A,114,0.188,0.113,13.375,18.745,0.135,0.042
C3',O5',A-C,47,0.196,0.113,12.85,16.52,0.016,0.005
C3',N1,C-C,48,0.766,0.112,10.0425,11.5,0.073,0.014
O1P,C4,C-A,47,0.119,0.112,9.61,14.56,0.003,0.006
C5,N6,C-A,47,0.269,0.112,4.605,7.38,0.152,0.031
O1P,N7,A-A,114,0.208,0.112,10.434999999999999,16.865000000000002,0.297,0.039
C2,C6,C-A,47,0.34,0.112,4.055,8.79,0.28,0.096
C4',C5',C-C,48,0.672,0.112,14.649999999999999,16.06,0.171,0.007
C5,O2P,A-A,114,0.191,0.112,8.815000000000001,13.829999999999998,0.31,0.252
O2,P,C-A,47,0.0,0.111,8.526666666666666,14.13,0.116,0.012
C4,O2P,C-A,47,0.061,0.111,9.28,12.55,0.021,0.0
C4',N3,A-A,114,0.216,0.111,8.855,12.95,0.096,0.037
C4',O2',C-A,47,0.145,0.111,10.41,13.82,0.015,0.014
C3',O4',C-C,48,0.765,0.111,11.73,13.675,0.135,0.004
C8,N4,A-C,47,0.034,0.11,5.89,9.483333333333333,0.083,0.026
C3',C8,A-A,114,0.163,0.11,8.969999999999999,14.26,0.15,0.238
O2P,O4',C-A,47,0.19,0.109,10.84,16.295,0.036,0.012
C4,C4',A-A,114,0.212,0.109,9.11,13.4,0.151,0.034
O2',C3',A-A,114,0.141,0.108,10.375,16.16,0.021,0.227
C3',C1',C-A,47,0.01,0.108,10.953333333333333,13.15,0.111,0.012
O3',O2P,C-A,47,0.0,0.108,12.523333333333333,18.99,0.107,0.012
C2',N7,A-G,94,0.091,0.108,8.879999999999999,12.73,0.106,0.117
C4,O1P,A-C,47,0.201,0.107,9.61,14.56,0.003,0.006
C3',C3',C-A,47,0.028,0.106,12.27,14.73,0.076,0.013
O3',N3,C-C,48,0.415,0.106,9.395,10.36,0.033,0.073
P,O3',C-A,47,0.146,0.106,12.41,18.03,0.017,0.01
C4,O1P,A-A,114,0.24,0.106,11.075,15.68,0.263,0.253
C2',C4',C-A,47,0.004,0.105,11.403333333333334,14.29,0.131,0.015
C4',C4,C-A,47,0.001,0.105,9.096666666666666,11.92,0.159,0.019
O3',O4',C-A,47,0.0,0.105,12.07,15.55,0.157,0.016
O3',O2,C-C,48,0.562,0.105,8.807500000000001,10.844999999999999,0.114,0.018
O3',C3',C-C,48,0.646,0.104,13.015,15.325,0.258,0.003
C5',O5',C-C,48,0.501,0.104,15.545,16.965,0.048,0.029
P,C1',C-A,47,0.134,0.104,10.57,15.77,0.016,0.012
O1P,C1',C-A,47,0.124,0.104,11.47,17.03,0.01,0.012
P,N6,A-A,114,0.213,0.104,7.695,13.27,0.343,0.032
C1',N1,C-C,48,0.894,0.104,8.434999999999999,10.05,0.013,0.012
C5,N7,A-A,114,0.134,0.103,6.029999999999999,9.280000000000001,0.205,0.216
C2',C5',C-A,47,0.001,0.103,11.863333333333332,15.67,0.146,0.018
N3,O4',A-C,47,0.289,0.103,8.11,9.68,0.1,0.017
C5',C4,A-A,114,0.22,0.103,9.67,14.17,0.177,0.029
C5',N3,C-A,47,0.093,0.103,9.35,11.46,0.005,0.001
C2',O2P,C-A,47,0.0,0.103,10.233333333333334,17.04,0.113,0.012
P,C6,C-A,47,0.077,0.103,8.44,11.71,0.01,0.001
C3',O1P,A-A,114,0.231,0.103,14.485,19.305,0.205,0.243
O2,C4,C-A,47,0.392,0.103,5.4,8.64,0.339,0.109
C1',N1,A-G,94,0.132,0.102,5.07,9.38,0.162,0.118
O2',C5,C-C,48,0.833,0.102,10.184999999999999,11.309999999999999,0.109,0.066
C3',C2',A-A,114,0.167,0.102,10.415,15.61,0.046,0.038
O3',O5',A-A,114,0.212,0.102,13.8425,18.555,0.154,0.233
O3',C4,A-A,114,0.186,0.102,9.14,13.705,0.097,0.238
O2',C4,C-C,48,0.826,0.102,9.04,9.92,0.065,0.087
N9,C4',A-A,114,0.187,0.102,10.059999999999999,14.7,0.143,0.034
C2',N3,C-C,48,0.418,0.101,7.26,8.4325,0.003,0.074
C2,O2P,C-A,47,0.0,0.101,8.203333333333333,13.89,0.101,0.008
N9,P,A-A,114,0.22,0.101,11.0625,15.62,0.277,0.24
O1P,N6,A-A,114,0.232,0.1,8.64,14.585,0.335,0.027
N4,C5,C-A,47,0.012,0.1,5.03,9.0,0.04,0.006
C1',O4',C-C,48,0.871,0.1,10.275,12.280000000000001,0.069,0.002
C3',O3',A-A,114,0.149,0.1,11.95,17.735,0.043,0.041
C1',O2P,C-C,48,0.443,0.1,13.149999999999999,14.43,0.032,0.077
C3',O3',C-A,47,0.063,0.099,12.26,15.4,0.021,0.005
C5,O2P,A-C,47,0.213,0.099,8.48,11.9725,0.009,0.001
C3',N1,A-A,114,0.23,0.099,7.055,10.17,0.111,0.237
C4',N1,C-C,48,0.856,0.099,10.68,12.149999999999999,0.069,0.007
C3',O1P,A-C,47,0.195,0.099,13.04,18.5,0.007,0.008
C2,C3',A-C,47,0.158,0.099,7.215,9.27,0.46,0.087
C4',O4',C-C,48,0.81,0.098,12.4625,14.399999999999999,0.125,0.001
O5',C5',A-A,114,0.218,0.098,13.98,18.701666666666664,0.245,0.03
N7,C2,A-C,47,0.064,0.097,5.706666666666667,9.79,0.246,0.042
C2',C3',C-C,48,0.648,0.097,10.79,13.125,0.16,0.003
N3,C5,A-C,47,0.027,0.097,4.19,10.773333333333333,0.091,0.018
O2P,C3',C-A,47,0.185,0.096,11.08,16.633333333333336,0.036,0.01
C4',N7,C-A,47,0.0,0.096,8.556666666666667,13.55,0.121,0.011
C5',O4',A-A,114,0.187,0.096,12.41,17.689999999999998,0.146,0.03
N3,C5',C-A,47,0.117,0.096,9.21,11.52,0.003,0.006
C1',C2,C-C,48,0.727,0.095,7.132499999999999,8.735,0.001,0.019
C4,C8,A-G,94,0.19,0.095,8.27714285714286,9.95,0.162,0.094
O4',C5',C-C,48,0.743,0.095,13.7275,15.09,0.137,0.003
C4',O2P,A-C,47,0.16,0.095,11.66,17.195,0.035,0.012
O2',O2P,C-A,47,0.001,0.095,10.136666666666667,17.98,0.123,0.015
C3',C2,C-C,48,0.571,0.095,8.765,10.16,0.03,0.021
C4,P,A-C,47,0.173,0.095,8.92,13.3,0.005,0.004
O1P,O3',C-A,47,0.134,0.094,13.54,19.4,0.011,0.01
P,C4,C-A,47,0.113,0.094,8.92,13.3,0.005,0.004
O5',O2P,C-A,47,0.004,0.094,13.393333333333333,19.22,0.089,0.008
O3',O3',C-A,47,0.029,0.094,13.52,16.61,0.07,0.011
C4',C2,C-C,48,0.71,0.094,9.38,10.835,0.03,0.014
N6,C6,A-A,114,0.145,0.094,3.62,8.115,0.182,0.195
C3',C4',C-C,48,0.699,0.093,12.7225,14.75,0.177,0.001
N3,N1,A-C,47,0.063,0.093,6.47,8.623333333333333,0.003,0.002
N3,O2P,C-A,47,0.002,0.093,8.103333333333333,12.65,0.086,0.004
C5',C6,C-A,47,0.001,0.093,8.24,11.48,0.136,0.014
C4,C2,C-A,47,0.005,0.093,4.14,9.846666666666666,0.062,0.006
O2,O2P,C-C,48,0.461,0.093,10.780000000000001,12.405000000000001,0.041,0.061
C1',C1',C-A,47,0.016,0.092,9.73,11.46,0.076,0.006
O4',N7,C-A,47,0.0,0.092,7.833333333333333,12.54,0.128,0.012
C1',C3',C-A,47,0.035,0.092,10.59,12.85,0.049,0.009
O4',P,A-A,114,0.216,0.092,12.9825,17.761666666666667,0.262,0.227
O4',C4,C-A,47,0.001,0.092,8.63,10.85,0.163,0.019
C4',P,A-A,114,0.225,0.092,13.944999999999999,18.716666666666665,0.252,0.226
C5,C5',A-A,114,0.206,0.092,9.065,13.4725,0.218,0.024
O3',C3',C-A,47,0.005,0.091,12.863333333333335,15.92,0.137,0.019
O4',C1',A-A,114,0.171,0.091,10.227500000000001,14.870000000000001,0.112,0.029
C4,O5',A-C,47,0.176,0.091,10.13,13.05,0.095,0.023
P,N6,C-A,47,0.032,0.091,9.01,11.61,0.074,0.007
O2P,N4,A-C,47,0.286,0.09,9.459999999999999,11.655000000000001,0.0,0.002
C5,N1,A-C,47,0.094,0.09,6.673333333333333,8.91,0.319,0.052
O3',C6,C-C,48,0.839,0.089,11.86,13.010000000000002,0.136,0.029
N9,C4,A-C,47,0.016,0.088,5.83,9.853333333333333,0.074,0.023
N4,O5',C-A,47,0.229,0.088,7.88,12.41,0.101,0.04
C1',C4',C-C,48,0.803,0.087,11.1575,13.225000000000001,0.114,0.0
C1',N3,A-C,47,0.022,0.087,6.29,9.933333333333332,0.066,0.019
O2P,O3',C-A,47,0.182,0.087,11.49,17.846666666666668,0.041,0.012
C2',N2,A-G,94,0.056,0.087,4.1850000000000005,9.741428571428571,0.04,0.081
C3',N9,C-A,47,0.001,0.087,9.576666666666666,12.69,0.185,0.021
C1',O5',A-A,114,0.213,0.087,11.442499999999999,15.950000000000001,0.211,0.217
C3',O2P,C-C,48,0.27,0.087,14.715,16.22,0.034,0.073
P,C2',C-A,47,0.14,0.087,10.53,16.0,0.025,0.017
C2',O4',C-A,47,0.001,0.087,10.316666666666668,13.42,0.178,0.019
C3',C2',C-A,47,0.035,0.086,10.83,13.27,0.047,0.006
O3',N9,A-A,114,0.164,0.086,10.194999999999999,15.035,0.094,0.205
O3',C1',C-A,47,0.0,0.086,11.163333333333334,14.25,0.179,0.02
O2P,N9,C-A,47,0.173,0.086,9.16,14.004999999999999,0.029,0.007
O1P,C2',C-A,47,0.13,0.085,11.56,17.31,0.016,0.015
C5',N3,A-C,47,0.202,0.085,9.21,11.52,0.003,0.006
C4',C4',C-C,48,0.746,0.085,13.355,15.38,0.162,0.0
N3,C2',A-C,47,0.098,0.085,7.16,9.36,0.485,0.102
C3',C8,C-A,47,0.001,0.084,9.206666666666667,13.55,0.154,0.015
O4',C5,A-A,114,0.191,0.084,8.004999999999999,11.760000000000002,0.202,0.215
C5',N1,A-A,114,0.265,0.084,7.8950000000000005,11.61,0.207,0.017
P,N4,A-C,47,0.208,0.084,9.39,12.765,0.04,0.015
O3',P,A-C,47,0.155,0.084,12.41,18.03,0.017,0.01
C3',C1',C-C,48,0.741,0.084,10.4925,12.55,0.123,0.0
C2',N3,A-C,47,0.012,0.084,5.7,10.866666666666667,0.075,0.021
C6,O5',C-C,48,0.608,0.084,11.795,13.175,0.0,0.037
C1',N3,C-C,48,0.492,0.083,6.76,7.91,0.057,0.053
C4',C5,A-A,114,0.203,0.083,8.600000000000001,12.765,0.201,0.216
C3',C6,C-C,48,0.881,0.083,10.875,11.940000000000001,0.054,0.024
C4',C5,C-A,47,0.001,0.082,7.996666666666667,12.17,0.153,0.017
C2',O2,C-C,48,0.563,0.082,6.5825,8.775,0.013,0.014
O3',C2',C-C,48,0.657,0.082,11.545,14.149999999999999,0.219,0.0
C4',C2,A-C,47,0.19,0.082,9.04,11.21,0.0,0.003
N1,C2',A-C,47,0.045,0.082,5.19,9.68,0.289,0.074
C2,O2P,C-C,48,0.332,0.082,10.7,12.22,0.002,0.072
N1,N3,C-A,47,0.045,0.082,6.47,8.623333333333333,0.003,0.002
O4',O2P,A-C,47,0.147,0.081,10.84,16.295,0.036,0.012
O4',N1,C-C,48,0.914,0.081,9.725000000000001,11.22,0.026,0.003
O2,O2P,C-A,47,0.005,0.081,7.323333333333333,14.17,0.126,0.014
