atom_1,atom_2,pair,count,r2_avg,r2,min_distance,max_distance,r2_avg_ratio,r2_ratio
C4',O5',C-A,47,0.069,0.248,12.913333333333334,17.14,0.037,0.001
O1P,O1P,C-A,47,0.171,0.248,17.48,22.11,0.0,0.002
C6,N6,A-A,114,0.145,0.247,3.62,8.115,0.182,0.195
O2',O5',C-C,48,0.729,0.247,12.774999999999999,15.515,0.147,0.088
N3,P,A-A,114,0.254,0.247,9.8475,13.971666666666666,0.244,0.431
O2P,C8,A-A,114,0.181,0.247,9.9575,15.905000000000001,0.301,0.163
O2P,O5',A-C,47,0.326,0.246,13.393333333333333,19.22,0.089,0.008
O2',O1P,A-A,114,0.193,0.244,13.7575,19.295,0.137,0.408
C1',O2',A-C,47,0.25,0.244,8.76,12.81,0.236,0.032
P,C5,A-C,47,0.416,0.244,11.51,14.33,0.006,0.008
N3,N3,A-C,47,0.279,0.244,4.73,9.053333333333335,0.023,0.001
C5',C5',C-A,47,0.126,0.244,15.33,17.9,0.01,0.0
C4,O1P,C-A,47,0.236,0.243,11.64,14.29,0.006,0.009
N9,C2',A-C,47,0.251,0.242,8.13,11.76,0.248,0.036
C1',C5,A-A,114,0.189,0.242,7.555,10.75,0.175,0.422
C5,N4,A-C,47,0.234,0.242,5.03,9.0,0.04,0.006
C6,P,C-A,47,0.15,0.242,11.843333333333334,15.17,0.004,0.001
O4',O1P,C-A,47,0.076,0.241,13.566666666666668,18.4,0.025,0.0
C5',P,A-C,47,0.301,0.241,14.12,18.85,0.001,0.002
N1,N1,C-A,47,0.439,0.24,4.6,7.45,0.252,0.087
C8,N9,A-A,114,0.145,0.239,6.8725000000000005,11.555,0.169,0.166
O1P,C6,A-A,114,0.246,0.239,9.370000000000001,14.532499999999999,0.312,0.135
N3,C5,C-A,47,0.383,0.237,4.655,7.6,0.157,0.045
C4,N3,A-C,47,0.259,0.237,5.42,8.14,0.002,0.001
C5',P,C-A,47,0.091,0.237,14.643333333333333,19.03,0.022,0.001
C2',O2P,A-A,114,0.228,0.236,12.1375,16.775,0.233,0.411
C4',N6,A-A,114,0.213,0.236,7.36,11.8225,0.278,0.421
O2P,O5',C-A,47,0.267,0.236,13.19,17.69,0.016,0.005
O2',N7,A-G,94,0.166,0.236,8.605,14.08,0.187,0.252
C8,O1P,A-C,47,0.349,0.236,11.7,16.34,0.0,0.003
C4,N7,A-G,94,0.312,0.235,7.49,9.82,0.331,0.243
N6,P,A-C,47,0.503,0.235,9.01,11.61,0.074,0.007
C8,C4',A-A,114,0.163,0.235,9.1425,14.82,0.169,0.156
N3,O3',A-C,47,0.319,0.235,8.74,11.44,0.311,0.049
N7,N7,A-G,94,0.158,0.235,7.48,10.88,0.146,0.242
O3',C3',A-C,47,0.384,0.235,12.26,15.4,0.021,0.005
C4,N6,C-A,47,0.337,0.234,3.215,7.76,0.128,0.042
N1,O1P,C-A,47,0.072,0.234,12.003333333333336,16.25,0.028,0.0
O2',O5',A-A,114,0.194,0.234,12.485,17.29,0.118,0.398
C5',C1',C-A,47,0.156,0.234,11.87,14.42,0.0,0.001
C4,C6,C-A,47,0.214,0.233,4.09,7.603333333333333,0.016,0.007
C8,C2',A-C,47,0.216,0.231,7.71,12.72,0.183,0.023
N9,O2',A-C,47,0.196,0.231,7.41,12.62,0.21,0.031
C1',C1',A-C,47,0.397,0.231,9.73,11.46,0.076,0.006
N1,N3,A-A,114,0.112,0.231,4.73,8.615,0.232,0.343
C2',N1,A-G,94,0.235,0.231,5.325,9.86,0.258,0.249
O3',N7,A-A,114,0.15,0.23,8.940000000000001,14.33,0.16,0.391
C4,C2,A-A,114,0.035,0.23,5.66,8.467500000000001,0.166,0.289
C2',O5',C-C,48,0.675,0.23,12.600000000000001,14.78,0.097,0.079
N7,C3',A-C,47,0.239,0.23,7.983333333333333,13.05,0.151,0.016
C5',N9,C-A,47,0.101,0.23,11.683333333333335,13.84,0.024,0.001
O2P,O1P,C-A,47,0.242,0.23,15.71,19.7875,0.003,0.001
C2',C8,A-A,114,0.157,0.23,8.48,13.32,0.13,0.389
C8,N1,A-C,47,0.324,0.23,7.973333333333334,10.74,0.179,0.014
C2,C4,A-C,47,0.25,0.229,4.14,9.846666666666666,0.062,0.006
C5',O3',A-A,114,0.168,0.229,13.665,19.165,0.088,0.151
C2',O2',A-C,47,0.33,0.229,9.413333333333334,12.82,0.26,0.035
N6,C5',A-C,47,0.274,0.229,7.13,11.66,0.128,0.013
P,P,C-A,47,0.156,0.229,15.49,19.56,0.002,0.0
O2,N1,C-A,47,0.416,0.228,2.875,8.96,0.271,0.116
O2',P,C-C,48,0.69,0.228,14.065000000000001,16.52,0.173,0.097
O3',C5',A-C,47,0.291,0.227,13.34,16.84,0.006,0.002
O1P,P,C-A,47,0.158,0.227,16.24,20.85,0.001,0.001
C6,C4',A-C,47,0.237,0.226,6.733333333333333,11.13,0.175,0.022
C8,O2',A-C,47,0.187,0.226,7.203333333333333,13.66,0.168,0.022
C5,P,C-A,47,0.238,0.226,11.51,14.33,0.006,0.008
O3',O5',C-C,48,0.692,0.226,14.615,16.805,0.158,0.069
O1P,C5,A-A,114,0.232,0.225,10.445,15.6225,0.296,0.126
C8,O4',A-A,114,0.154,0.224,8.265,13.79,0.172,0.148
C4',O1P,C-A,47,0.056,0.224,14.583333333333334,19.58,0.038,0.002
N7,O3',A-C,47,0.219,0.224,8.520000000000001,14.17,0.146,0.015
C6,C5',C-A,47,0.192,0.223,11.02,14.13,0.009,0.012
O3',C2',A-C,47,0.407,0.223,11.34,14.28,0.075,0.017
C5,O3',A-C,47,0.212,0.222,7.833333333333333,12.81,0.171,0.021
C8,C6,A-C,47,0.444,0.222,8.9,10.73,0.018,0.001
C2,N4,A-C,47,0.234,0.222,3.26,10.933333333333335,0.116,0.014
O4',O4',C-A,47,0.104,0.221,11.64,13.91,0.01,0.0
C5,C3',A-C,47,0.227,0.221,7.456666666666666,11.68,0.19,0.025
C1',C2,A-G,94,0.14,0.22,5.215,9.532857142857141,0.103,0.204
C5,P,A-C,47,0.335,0.22,9.3,12.98,0.002,0.0
N1,C6,A-A,114,0.172,0.219,3.5250000000000004,8.030000000000001,0.251,0.158
C3',C6,A-A,114,0.229,0.219,7.36,10.85,0.195,0.404
O4',C4',C-A,47,0.128,0.219,12.08,14.74,0.002,0.0
N9,C1',A-A,114,0.167,0.218,8.5725,12.620000000000001,0.12,0.133
C2',O2',A-A,114,0.119,0.218,9.42,14.96,0.008,0.16
C5',C3',C-A,47,0.169,0.217,13.17,15.95,0.0,0.0
O5',C4',A-A,114,0.217,0.217,13.302499999999998,18.005000000000003,0.217,0.126
O2',O1P,C-C,48,0.669,0.217,15.085,17.785,0.172,0.089
O2P,N6,A-A,114,0.171,0.216,7.234999999999999,12.5825,0.329,0.132
O3',C5,A-A,114,0.183,0.216,8.785,13.24,0.153,0.388
C2',C3',A-C,47,0.401,0.216,10.83,13.27,0.047,0.006
C8,N7,A-G,94,0.178,0.215,8.62,11.7,0.156,0.217
N7,C1',A-C,47,0.203,0.215,6.5566666666666675,11.69,0.167,0.021
N3,O1P,C-A,47,0.085,0.215,10.639999999999999,13.93,0.017,0.0
O4',P,C-A,47,0.053,0.214,12.339999999999998,17.33,0.038,0.001
O3',P,C-C,48,0.612,0.214,15.84,17.645000000000003,0.173,0.089
O2P,N3,A-C,47,0.276,0.214,8.103333333333333,12.65,0.086,0.004
N1,C5,A-C,47,0.21,0.213,4.96,8.86,0.019,0.001
O2',N3,A-A,114,0.138,0.213,7.9275,11.71,0.013,0.361
C1',O5',C-A,47,0.037,0.212,10.79,15.03,0.057,0.003
C2',C4,A-G,94,0.102,0.212,7.365,11.12,0.078,0.201
C2,O1P,A-A,114,0.263,0.212,9.705,14.083333333333336,0.234,0.394
C5,O1P,A-C,47,0.334,0.211,9.8,14.25,0.0,0.002
N3,C2,A-C,47,0.268,0.211,5.36,8.09,0.012,0.006
C2',C5',A-C,47,0.282,0.211,11.69,14.66,0.007,0.005
P,C4,A-C,47,0.395,0.21,10.65,12.98,0.001,0.005
O5',O4',A-A,114,0.206,0.21,12.344999999999999,16.924999999999997,0.23,0.12
C5',C6,A-C,47,0.284,0.21,11.02,14.13,0.009,0.012
N7,O2',A-C,47,0.162,0.209,6.026666666666666,13.6,0.156,0.021
C4',C4',C-A,47,0.091,0.208,13.25,15.83,0.018,0.0
C2',P,C-C,48,0.607,0.208,13.8,15.684999999999999,0.115,0.094
N1,C4',A-A,114,0.258,0.207,7.455,10.82,0.179,0.109
P,C5',A-A,114,0.222,0.207,14.4975,19.759999999999998,0.271,0.115
C4,C3',A-A,114,0.207,0.207,8.579999999999998,12.735,0.115,0.111
N1,C4',A-C,47,0.226,0.207,6.8566666666666665,9.85,0.268,0.045
C6,O1P,A-C,47,0.353,0.206,8.78,12.96,0.002,0.0
C5',O5',A-C,47,0.284,0.206,15.05,18.53,0.052,0.009
C2,C4',A-C,47,0.386,0.205,8.125,9.73,0.371,0.06
C8,O5',A-C,47,0.295,0.205,11.536666666666667,15.08,0.128,0.016
O2P,C5,A-C,47,0.439,0.205,10.486666666666666,13.745000000000001,0.004,0.001
N3,O1P,A-A,114,0.251,0.203,10.8475,15.225,0.225,0.381
C5',O1P,A-C,47,0.292,0.203,15.06,20.15,0.0,0.003
C6,O4',A-C,47,0.214,0.203,6.253333333333334,10.18,0.218,0.032
O4',C2',A-A,114,0.17,0.203,10.5475,15.23,0.079,0.122
N3,C5',A-C,47,0.345,0.202,9.35,11.46,0.005,0.001
O5',N9,A-A,114,0.214,0.202,10.512500000000001,14.705,0.248,0.111
N7,C2',A-C,47,0.17,0.202,6.473333333333334,12.36,0.17,0.023
C4,O2P,A-A,114,0.211,0.202,9.504999999999999,14.19,0.288,0.374
N1,C8,A-A,114,0.094,0.202,6.55125,7.859999999999999,0.05,0.298
C4',O4',C-A,47,0.062,0.201,12.443333333333333,15.02,0.037,0.001
C2',P,A-A,114,0.234,0.201,12.6425,17.1,0.213,0.37
C2,O5',C-A,47,0.04,0.201,9.503333333333332,12.59,0.054,0.001
C4,O2',A-C,47,0.152,0.201,6.27,11.49,0.229,0.04
C1',O5',C-C,48,0.73,0.2,12.37,14.23,0.061,0.068
N1,C2,C-A,47,0.24,0.199,5.4399999999999995,7.883333333333333,0.041,0.015
C4',P,C-A,47,0.038,0.199,13.299999999999999,18.47,0.051,0.003
N3,N9,A-A,114,0.136,0.199,7.1274999999999995,9.83,0.037,0.346
C1',O2P,A-A,114,0.215,0.199,11.515,16.333333333333332,0.264,0.368
N6,C4',A-C,47,0.191,0.199,5.646666666666667,11.62,0.146,0.018
C3',O5',C-A,47,0.029,0.199,12.410000000000002,16.71,0.072,0.005
C3',O5',C-C,48,0.616,0.199,13.86,15.725000000000001,0.093,0.064
C2,N1,A-A,114,0.174,0.199,3.455,8.7525,0.27,0.141
O2P,P,C-A,47,0.224,0.198,14.53,18.5875,0.002,0.0
